order_id	order_item_id	product_id	seller_id	shipping_limit_date	price	freight_value	olist_orders_dataset.order_id	olist_orders_dataset.customer_id	olist_orders_dataset.order_status	olist_orders_dataset.order_purchase_timestamp	olist_orders_dataset.order_approved_at	olist_orders_dataset.order_delivered_carrier_date	olist_orders_dataset.order_delivered_customer_date	olist_orders_dataset.order_estimated_delivery_date	olist_sellers_dataset.seller_id	olist_sellers_dataset.seller_zip_code_prefix	olist_sellers_dataset.seller_city	olist_sellers_dataset.seller_state	olist_order_reviews_dataset.review_id	olist_order_reviews_dataset.order_id	olist_order_reviews_dataset.review_score	olist_order_reviews_dataset.review_comment_title	olist_order_reviews_dataset.review_comment_message	olist_order_reviews_dataset.review_creation_date	olist_order_reviews_dataset.review_answer_timestamp	olist_order_payments_dataset	olist_products_dataset.product_id	olist_products_dataset.product_category_name	olist_products_dataset.product_name_lenght	olist_products_dataset.product_description_lenght	olist_products_dataset.product_photos_qty	olist_products_dataset.product_weight_g	olist_products_dataset.product_length_cm	olist_products_dataset.product_height_cm	olist_products_dataset.product_width_cm	product_category_name_translation.Column1	product_category_name_translation.Column2	olist_order_payments_dataset.1.order_id	olist_order_payments_dataset.1.payment_sequential	olist_order_payments_dataset.1.payment_type	olist_order_payments_dataset.1.payment_installments	olist_order_payments_dataset.1.payment_value
42fdf880ba16b47b59251dd489d4441a	1	386486367c1f9d4f587a8864ccb6902b	cca3071e3e9bb7d12640c9fbe2301306	5/31/2018 4:14:41 PM	113.57	14.88	42fdf880ba16b47b59251dd489d4441a	15fd6fb8f8312dbb4674e4518d6fa3b3	delivered	5/21/2018 1:59:17 PM	5/21/2018 4:14:41 PM	5/22/2018 11:46:00 AM	6/1/2018 9:44:53 PM	6/13/2018 12:00:00 AM	cca3071e3e9bb7d12640c9fbe2301306	14940	ibitinga	SP	d4f36356231f2e8a28c0209df9181c29	42fdf880ba16b47b59251dd489d4441a	5			6/2/2018 12:00:00 AM	6/5/2018 3:19:55 PM	[Table]	386486367c1f9d4f587a8864ccb6902b	cama_mesa_banho	54	120	1	835	40	9	33	cama_mesa_banho	bed_bath_table	42fdf880ba16b47b59251dd489d4441a	1	credit_card	2	128.45
9079f0a7009de87ec70254bdf060369f	1	c03d44fcdfabbabd5185c8eb60f77aea	48436dade18ac8b2bce089ec2a041202	7/19/2017 3:04:12 PM	44.9	16.11	9079f0a7009de87ec70254bdf060369f	1c476e17222ee78216feb6a315ef6be1	delivered	7/13/2017 2:51:58 PM	7/13/2017 3:04:12 PM	7/17/2017 7:09:47 PM	7/27/2017 7:38:37 PM	8/4/2017 12:00:00 AM	48436dade18ac8b2bce089ec2a041202	27277	volta redonda	SP	fdafc497d4defad9d71bab3f69cd1ef8	9079f0a7009de87ec70254bdf060369f	5			7/28/2017 12:00:00 AM	7/28/2017 11:51:47 PM	[Table]	c03d44fcdfabbabd5185c8eb60f77aea	cool_stuff	55	781	2	500	27	10	15	cool_stuff	cool_stuff	9079f0a7009de87ec70254bdf060369f	1	credit_card	3	61.01
12e5cfe0e4716b59afb0e0f4a3bd6570	1	b0961721fd839e9982420e807758a2a6	1f50f920176fa81dab994f9023523100	3/29/2018 9:48:20 AM	53.9	103.55	12e5cfe0e4716b59afb0e0f4a3bd6570	041cd6848abb3d3ca45e83dc971488fd	delivered	3/22/2018 9:46:07 AM	3/23/2018 9:48:20 AM	3/28/2018 3:32:48 PM	4/26/2018 4:38:53 PM	4/12/2018 12:00:00 AM	1f50f920176fa81dab994f9023523100	15025	sao jose do rio preto	SP	93dde689402e9166f529d52be1336384	12e5cfe0e4716b59afb0e0f4a3bd6570	3			4/15/2018 12:00:00 AM	4/23/2018 5:26:29 PM	[Table]	b0961721fd839e9982420e807758a2a6	ferramentas_jardim	59	341	2	1850	37	22	40	ferramentas_jardim	garden_tools	12e5cfe0e4716b59afb0e0f4a3bd6570	1	credit_card	10	157.45
53cdb2fc8bc7dce0b6741e2150273451	1	595fac2a385ac33a80bd5114aec74eb8	289cdb325fb7e7f891c38608bf9e0962	7/30/2018 3:24:27 AM	118.7	22.76	53cdb2fc8bc7dce0b6741e2150273451	b0830fb4747a6c6d20dea0b8c802d7ef	delivered	7/24/2018 8:41:37 PM	7/26/2018 3:24:27 AM	7/26/2018 2:31:00 PM	8/7/2018 3:27:45 PM	8/13/2018 12:00:00 AM	289cdb325fb7e7f891c38608bf9e0962	31570	belo horizonte	SP	8d5266042046a06655c8db133d120ba5	53cdb2fc8bc7dce0b6741e2150273451	4	Muito boa a loja	Muito bom o produto.	8/8/2018 12:00:00 AM	8/8/2018 6:37:50 PM	[Table]	595fac2a385ac33a80bd5114aec74eb8	perfumaria	29	178	1	400	19	13	19	perfumaria	perfumery	53cdb2fc8bc7dce0b6741e2150273451	1	boleto	1	141.46
adfbf6c2a620196f9a3ec747491c72b7	1	389d119b48cf3043d311335e499d9c6b	1f50f920176fa81dab994f9023523100	2/2/2018 8:12:11 PM	49.9	17.6	adfbf6c2a620196f9a3ec747491c72b7	5b670130533827957619dfe306899fdd	delivered	1/29/2018 7:54:35 PM	1/29/2018 8:12:11 PM	2/3/2018 5:12:50 PM	2/27/2018 1:27:35 PM	3/1/2018 12:00:00 AM	1f50f920176fa81dab994f9023523100	15025	sao jose do rio preto	SP	527b5e4ea0f1755532ddaf63d05beb9b	adfbf6c2a620196f9a3ec747491c72b7	5			2/28/2018 12:00:00 AM	2/28/2018 6:54:12 PM	[Table]	389d119b48cf3043d311335e499d9c6b	ferramentas_jardim	59	341	2	1750	37	22	40	ferramentas_jardim	garden_tools	adfbf6c2a620196f9a3ec747491c72b7	1	credit_card	4	67.5
4d680edbaa7d3d9bed69532957368a03	1	0ec96e6d31a1493b0475805c9ae1a0a2	09f952a5f58d2285b0372551ae8f9b01	8/24/2018 9:15:09 AM	167	13.22	4d680edbaa7d3d9bed69532957368a03	1444f701e835b7d189637c10f5287e76	delivered	8/20/2018 2:34:51 PM	8/21/2018 9:15:09 AM	8/23/2018 9:21:00 AM	8/27/2018 5:51:52 PM	10/1/2018 12:00:00 AM	09f952a5f58d2285b0372551ae8f9b01	9725	sao bernardo do campo	SP	fda44869178ded7ac2f6804d40980075	4d680edbaa7d3d9bed69532957368a03	1	Pedido não entregue 	Se não me derem uma posição quanto o meu pedido não entregue terei que tomar minhas providências na justica para sanar meu problema.	8/28/2018 12:00:00 AM	8/30/2018 11:07:07 AM	[Table]	0ec96e6d31a1493b0475805c9ae1a0a2	moveis_decoracao	48	409	4	1450	24	18	18	moveis_decoracao	furniture_decor	4d680edbaa7d3d9bed69532957368a03	1	credit_card	10	353.09
034d69957b2269cb4e06b31561b64973	1	595fac2a385ac33a80bd5114aec74eb8	ef0ace09169ac090589d85746e3e036f	6/12/2018 3:35:20 PM	119.9	17.55	034d69957b2269cb4e06b31561b64973	02ae7918f75386935260f02cbf60d7f7	delivered	6/4/2018 3:22:10 PM	6/4/2018 3:35:20 PM	6/11/2018 12:58:00 PM	6/19/2018 1:48:44 PM	7/13/2018 12:00:00 AM	ef0ace09169ac090589d85746e3e036f	24451	sao goncalo	RJ	fdd4b55b6de914c43a246dda580cbdef	034d69957b2269cb4e06b31561b64973	4			6/20/2018 12:00:00 AM	6/20/2018 5:25:11 PM	[Table]	595fac2a385ac33a80bd5114aec74eb8	perfumaria	29	178	1	400	19	13	19	perfumaria	perfumery	034d69957b2269cb4e06b31561b64973	1	credit_card	2	137.45
21b966a378471db65c18fa4ca20d6800	1	595fac2a385ac33a80bd5114aec74eb8	289cdb325fb7e7f891c38608bf9e0962	8/23/2018 8:50:15 PM	116.9	15.92	21b966a378471db65c18fa4ca20d6800	f253cdb921536ec2a9ff9a11cab13aea	delivered	8/21/2018 8:34:12 PM	8/21/2018 8:50:15 PM	8/22/2018 3:21:00 PM	8/27/2018 5:32:06 PM	9/5/2018 12:00:00 AM	289cdb325fb7e7f891c38608bf9e0962	31570	belo horizonte	SP	4c8f8404cafa2aadef5a65b86a6c073b	21b966a378471db65c18fa4ca20d6800	5			8/28/2018 12:00:00 AM	8/30/2018 9:16:06 PM	[Table]	595fac2a385ac33a80bd5114aec74eb8	perfumaria	29	178	1	400	19	13	19	perfumaria	perfumery	21b966a378471db65c18fa4ca20d6800	1	credit_card	2	132.82
01f66e58769f84129811d43eefd187fb	1	96bd76ec8810374ed1b65e291975717f	7b07b3c7487f0ea825fc6df75abd658b	7/11/2018 9:30:20 PM	79.8	7.82	01f66e58769f84129811d43eefd187fb	e41819d1c95c12c9ce495b630eab8aee	delivered	7/9/2018 9:18:01 PM	7/9/2018 9:30:20 PM	7/10/2018 11:49:00 AM	7/11/2018 11:24:16 PM	7/18/2018 12:00:00 AM	7b07b3c7487f0ea825fc6df75abd658b	2016	sao paulo	SP	32921b4e09c9a19d61fe46ce04231b84	01f66e58769f84129811d43eefd187fb	5			7/14/2018 12:00:00 AM	7/16/2018 4:20:04 PM	[Table]	96bd76ec8810374ed1b65e291975717f	esporte_lazer	46	250	1	154	18	9	15	esporte_lazer	sports_leisure	01f66e58769f84129811d43eefd187fb	1	credit_card	1	87.62
0f95a7e23723d5388a494f2d812a8332	1	65266b2da20d04dbe00c5c2d3bb7859e	2c9e548be18521d1c43cde1c582c6de8	4/5/2018 8:08:34 PM	19.9	15.23	0f95a7e23723d5388a494f2d812a8332	5f454675eda0812f4ca038d7a6796a38	delivered	4/1/2018 7:50:42 PM	4/1/2018 8:08:34 PM	4/3/2018 9:19:23 PM	4/12/2018 12:24:45 AM	4/25/2018 12:00:00 AM	2c9e548be18521d1c43cde1c582c6de8	8752	mogi das cruzes	SP	03d66b26785dcfe2ecc572c2bb14fe77	0f95a7e23723d5388a494f2d812a8332	5			4/12/2018 12:00:00 AM	4/12/2018 9:56:31 PM	[Table]	65266b2da20d04dbe00c5c2d3bb7859e	papelaria	38	316	4	250	51	15	15	papelaria	stationery	0f95a7e23723d5388a494f2d812a8332	1	credit_card	1	35.13
